Y,X,PID,POS,label
46.1667,-59.65,1,1,outerboundry
46.1667,-59.3333,1,2,outerboundry
46.2667,-59.3333,1,3,outerboundry
46.4167,-59,1,4,outerboundry
46.4167,-58.6667,1,5,outerboundry
46.2333,-58.3667,1,6,outerboundry
46.0667,-58.5333,1,7,outerboundry
46.0667,-58.6667,1,8,outerboundry
45.9333,-58.6667,1,9,outerboundry
45.7833,-59.65,1,10,outerboundry
46.1667,-59.3333,2,1,zone1
46.2667,-59.3333,2,2,zone1
46.4167,-59,2,3,zone1
46.4167,-58.6667,2,4,zone1
46.2333,-58.3667,2,5,zone1
46.0667,-58.5333,2,6,zone1
46.0667,-58.6667,2,7,zone1
46.2,-58.85,2,8,zone1
46.1333,-58.9333,2,9,zone1
45.9608,-58.6667,2,10,zone1
45.9333,-58.6667,2,11,zone1
45.8961,-58.9167,2,12,zone1
46,-58.9167,2,13,zone1
46,-59.0333,2,14,zone1
45.8785,-59.0333,2,15,zone1
45.8068,-59.5,2,16,zone1
46.1667,-59.5,2,17,zone1
46.1667,-59.65,3,1,zone 2
46.1667,-59.5,3,2,zone 2
45.8068,-59.5,3,3,zone 2
45.7833,-59.65,3,4,zone 2
46,-59.0333,4,1,zone 3
46,-58.9167,4,2,zone 3
45.8961,-58.9167,4,3,zone 3
45.8785,-59.0333,4,4,zone 3
46.1333,-58.9333,5,1,zone 4
46.2,-58.85,5,2,zone 4
46.0667,-58.6667,5,3,zone 4
45.9608,-58.6667,5,4,zone 4
