strat,tunits
401,235751
402,287613
403,288206
404,12711
405,38473
406,394048
407,149399
408,269817
409,127112
410,248801
411,32117
412,29163
413,38319
414,9580
415,64742
416,90419
417,44489
418,33388
419,37540
420,65505
421,27880
422,105418
423,272105
424,88979
425,53387
426,32880
427,80589
428,17118
429,143722
431,120248
432,25507
433,100673
434,102622
435,54150
436,81182
437,41947
438,14237
439,37202
440,78301
441,84741
442,121773
443,111689
444,332610
445,86691
446,41608
447,136942
448,122790
449,12203
450,32456
451,12457
452,29236
453,21948
454,42286
455,179821
456,80928
457,68725
458,55765
459,266766
460,113893
461,97792
462,179313
463,25592
464,109910
465,201939
466,19152
470,77962
471,85080
472,105842
473,22456
474,13643
475,13220
476,125248
477,104401
478,19745
480,55506
481,158890
482,88301
483,45082
484,191855
485,134061
490,50930
491,58217
492,92029
493,45167
494,35337
495,49489
501,67369
502,106096
503,194482
504,260919
505,197956
506,138807
507,271088
508,170669
